Year,Date,Day,DayOfYear,Hour,DayHour,APSCEP,ANSCEP,APTCEP,ANTCEP
2021,2021-01-01 00:15:00,2021/01/01,01/01,0,2021/01/01 00,61.18,40.78,0.0,0.0
2021,2021-01-01 00:30:00,2021/01/01,01/01,0,2021/01/01 00,61.18,40.78,0.0,0.0
2021,2021-01-01 00:45:00,2021/01/01,01/01,0,2021/01/01 00,61.18,40.78,0.0,0.0
2021,2021-01-01 01:00:00,2021/01/01,01/01,1,2021/01/01 01,61.18,40.78,0.0,0.0
2021,2021-01-01 01:15:00,2021/01/01,01/01,1,2021/01/01 01,55.13,36.75,0.0,0.0
2021,2021-01-01 01:30:00,2021/01/01,01/01,1,2021/01/01 01,55.13,36.75,0.0,0.0
2021,2021-01-01 01:45:00,2021/01/01,01/01,1,2021/01/01 01,55.13,36.75,0.0,0.0
2021,2021-01-01 02:00:00,2021/01/01,01/01,2,2021/01/01 02,55.13,36.75,0.0,0.0
2021,2021-01-01 02:15:00,2021/01/01,01/01,2,2021/01/01 02,53.44,35.62,0.0,0.0
2021,2021-01-01 02:30:00,2021/01/01,01/01,2,2021/01/01 02,53.44,35.62,0.0,0.0
2021,2021-01-01 02:45:00,2021/01/01,01/01,2,2021/01/01 02,53.44,35.62,0.0,0.0
2021,2021-01-01 03:00:00,2021/01/01,01/01,3,2021/01/01 03,53.44,35.62,0.0,0.0
2021,2021-01-01 03:15:00,2021/01/01,01/01,3,2021/01/01 03,49.21,32.81,0.0,0.0
2021,2021-01-01 03:30:00,2021/01/01,01/01,3,2021/01/01 03,49.21,32.81,0.0,0.0
2021,2021-01-01 03:45:00,2021/01/01,01/01,3,2021/01/01 03,49.21,32.81,0.0,0.0
2021,2021-01-01 04:00:00,2021/01/01,01/01,4,2021/01/01 04,49.21,32.81,0.0,0.0
2021,2021-01-01 04:15:00,2021/01/01,01/01,4,2021/01/01 04,49.05,31.38,0.0,0.0
2021,2021-01-01 04:30:00,2021/01/01,01/01,4,2021/01/01 04,49.05,31.38,0.0,0.0
2021,2021-01-01 04:45:00,2021/01/01,01/01,4,2021/01/01 04,49.05,31.38,0.0,0.0
2021,2021-01-01 05:00:00,2021/01/01,01/01,5,2021/01/01 05,49.05,31.38,0.0,0.0
2021,2021-01-01 05:15:00,2021/01/01,01/01,5,2021/01/01 05,49.05,30.74,0.0,0.0
2021,2021-01-01 05:30:00,2021/01/01,01/01,5,2021/01/01 05,49.05,30.74,0.0,0.0
2021,2021-01-01 05:45:00,2021/01/01,01/01,5,2021/01/01 05,49.05,30.74,0.0,0.0
2021,2021-01-01 06:00:00,2021/01/01,01/01,6,2021/01/01 06,49.05,30.74,0.0,0.0
2021,2021-01-01 06:15:00,2021/01/01,01/01,6,2021/01/01 06,49.05,31.66,0.0,0.0
2021,2021-01-01 06:30:00,2021/01/01,01/01,6,2021/01/01 06,49.05,31.66,0.0,0.0
2021,2021-01-01 06:45:00,2021/01/01,01/01,6,2021/01/01 06,49.05,31.66,0.0,0.0
2021,2021-01-01 07:00:00,2021/01/01,01/01,7,2021/01/01 07,49.05,31.66,0.0,0.0
2021,2021-01-01 07:15:00,2021/01/01,01/01,7,2021/01/01 07,49.05,32.62,0.0,0.0
2021,2021-01-01 07:30:00,2021/01/01,01/01,7,2021/01/01 07,49.05,32.62,0.0,0.0
2021,2021-01-01 07:45:00,2021/01/01,01/01,7,2021/01/01 07,49.05,32.62,0.0,23.192982
2021,2021-01-01 08:00:00,2021/01/01,01/01,8,2021/01/01 08,49.05,32.62,0.0,23.192982
2021,2021-01-01 08:15:00,2021/01/01,01/01,8,2021/01/01 08,51.26,34.18,0.0,0.0
2021,2021-01-01 08:30:00,2021/01/01,01/01,8,2021/01/01 08,51.26,34.18,0.0,0.0
2021,2021-01-01 08:45:00,2021/01/01,01/01,8,2021/01/01 08,51.26,34.18,0.0,23.142857
2021,2021-01-01 09:00:00,2021/01/01,01/01,9,2021/01/01 09,51.26,34.18,0.0,23.142857
2021,2021-01-01 09:15:00,2021/01/01,01/01,9,2021/01/01 09,53.18,35.46,0.0,21.719463
2021,2021-01-01 09:30:00,2021/01/01,01/01,9,2021/01/01 09,53.18,35.46,0.0,21.719463
2021,2021-01-01 09:45:00,2021/01/01,01/01,9,2021/01/01 09,53.18,35.46,0.0,21.719463
2021,2021-01-01 10:00:00,2021/01/01,01/01,0,2021/01/01 10,53.18,35.46,0.0,21.719463
2021,2021-01-01 10:15:00,2021/01/01,01/01,0,2021/01/01 10,55.37,36.91,0.0,20.371429
2021,2021-01-01 10:30:00,2021/01/01,01/01,0,2021/01/01 10,55.37,36.91,0.0,20.371429
2021,2021-01-01 10:45:00,2021/01/01,01/01,0,2021/01/01 10,55.37,36.91,0.0,20.371429
2021,2021-01-01 11:00:00,2021/01/01,01/01,1,2021/01/01 11,55.37,36.91,0.0,20.371429
2021,2021-01-01 11:15:00,2021/01/01,01/01,1,2021/01/01 11,55.62,37.08,0.0,22.390909
2021,2021-01-01 11:30:00,2021/01/01,01/01,1,2021/01/01 11,55.62,37.08,0.0,22.390909
2021,2021-01-01 11:45:00,2021/01/01,01/01,1,2021/01/01 11,55.62,37.08,0.0,22.390909
2021,2021-01-01 12:00:00,2021/01/01,01/01,2,2021/01/01 12,55.62,37.08,0.0,22.390909
2021,2021-01-01 12:15:00,2021/01/01,01/01,2,2021/01/01 12,58.68,39.12,0.0,32.65
2021,2021-01-01 12:30:00,2021/01/01,01/01,2,2021/01/01 12,58.68,39.12,0.0,32.65
2021,2021-01-01 12:45:00,2021/01/01,01/01,2,2021/01/01 12,58.68,39.12,0.0,32.65
2021,2021-01-01 13:00:00,2021/01/01,01/01,3,2021/01/01 13,58.68,39.12,0.0,32.65
2021,2021-01-01 13:15:00,2021/01/01,01/01,3,2021/01/01 13,58.22,38.82,0.0,0.0
2021,2021-01-01 13:30:00,2021/01/01,01/01,3,2021/01/01 13,58.22,38.82,0.0,0.0
2021,2021-01-01 13:45:00,2021/01/01,01/01,3,2021/01/01 13,58.22,38.82,0.0,0.0
2021,2021-01-01 14:00:00,2021/01/01,01/01,4,2021/01/01 14,58.22,38.82,0.0,0.0
2021,2021-01-01 14:15:00,2021/01/01,01/01,4,2021/01/01 14,57.66,38.44,0.0,0.0
2021,2021-01-01 14:30:00,2021/01/01,01/01,4,2021/01/01 14,57.66,38.44,0.0,0.0
2021,2021-01-01 14:45:00,2021/01/01,01/01,4,2021/01/01 14,57.66,38.44,0.0,0.0
2021,2021-01-01 15:00:00,2021/01/01,01/01,5,2021/01/01 15,57.66,38.44,0.0,0.0
2021,2021-01-01 15:15:00,2021/01/01,01/01,5,2021/01/01 15,58.82,39.22,0.0,0.0
2021,2021-01-01 15:30:00,2021/01/01,01/01,5,2021/01/01 15,58.82,39.22,0.0,0.0
2021,2021-01-01 15:45:00,2021/01/01,01/01,5,2021/01/01 15,58.82,39.22,0.0,0.0
2021,2021-01-01 16:00:00,2021/01/01,01/01,6,2021/01/01 16,58.82,39.22,0.0,0.0
2021,2021-01-01 16:15:00,2021/01/01,01/01,6,2021/01/01 16,64.48,42.98,0.0,0.0
2021,2021-01-01 16:30:00,2021/01/01,01/01,6,2021/01/01 16,64.48,42.98,0.0,0.0
2021,2021-01-01 16:45:00,2021/01/01,01/01,6,2021/01/01 16,64.48,42.98,0.0,0.0
2021,2021-01-01 17:00:00,2021/01/01,01/01,7,2021/01/01 17,64.48,42.98,0.0,0.0
2021,2021-01-01 17:15:00,2021/01/01,01/01,7,2021/01/01 17,69.26,46.18,0.0,52.22
2021,2021-01-01 17:30:00,2021/01/01,01/01,7,2021/01/01 17,69.26,46.18,0.0,52.22
2021,2021-01-01 17:45:00,2021/01/01,01/01,7,2021/01/01 17,69.26,46.18,0.0,52.22
2021,2021-01-01 18:00:00,2021/01/01,01/01,8,2021/01/01 18,69.26,46.18,0.0,52.22
2021,2021-01-01 18:15:00,2021/01/01,01/01,8,2021/01/01 18,69.96,46.64,0.0,0.0
2021,2021-01-01 18:30:00,2021/01/01,01/01,8,2021/01/01 18,69.96,46.64,0.0,0.0
2021,2021-01-01 18:45:00,2021/01/01,01/01,8,2021/01/01 18,69.96,46.64,0.0,0.0
2021,2021-01-01 19:00:00,2021/01/01,01/01,9,2021/01/01 19,69.96,46.64,0.0,0.0
2021,2021-01-01 19:15:00,2021/01/01,01/01,9,2021/01/01 19,69.74,46.5,0.0,0.0
2021,2021-01-01 19:30:00,2021/01/01,01/01,9,2021/01/01 19,69.74,46.5,0.0,0.0
2021,2021-01-01 19:45:00,2021/01/01,01/01,9,2021/01/01 19,69.74,46.5,0.0,0.0
2021,2021-01-01 20:00:00,2021/01/01,01/01,0,2021/01/01 20,69.74,46.5,0.0,0.0
2021,2021-01-01 20:15:00,2021/01/01,01/01,0,2021/01/01 20,67.75,45.17,0.0,0.0
2021,2021-01-01 20:30:00,2021/01/01,01/01,0,2021/01/01 20,67.75,45.17,0.0,0.0
2021,2021-01-01 20:45:00,2021/01/01,01/01,0,2021/01/01 20,67.75,45.17,0.0,0.0
2021,2021-01-01 21:00:00,2021/01/01,01/01,1,2021/01/01 21,67.75,45.17,0.0,0.0
2021,2021-01-01 21:15:00,2021/01/01,01/01,1,2021/01/01 21,64.67,43.11,0.0,0.0
2021,2021-01-01 21:30:00,2021/01/01,01/01,1,2021/01/01 21,64.67,43.11,0.0,39.142857
2021,2021-01-01 21:45:00,2021/01/01,01/01,1,2021/01/01 21,64.67,43.11,0.0,39.142857
2021,2021-01-01 22:00:00,2021/01/01,01/01,2,2021/01/01 22,64.67,43.11,0.0,39.142857
2021,2021-01-01 22:15:00,2021/01/01,01/01,2,2021/01/01 22,62.42,41.62,0.0,40.0
2021,2021-01-01 22:30:00,2021/01/01,01/01,2,2021/01/01 22,62.42,41.62,0.0,40.0
2021,2021-01-01 22:45:00,2021/01/01,01/01,2,2021/01/01 22,62.42,41.62,0.0,40.0
2021,2021-01-01 23:00:00,2021/01/01,01/01,3,2021/01/01 23,62.42,41.62,0.0,40.0
2021,2021-01-01 23:15:00,2021/01/01,01/01,3,2021/01/01 23,58.46,38.98,0.0,37.0
2021,2021-01-01 23:30:00,2021/01/01,01/01,3,2021/01/01 23,58.46,38.98,0.0,37.0
2021,2021-01-01 23:45:00,2021/01/01,01/01,3,2021/01/01 23,58.46,38.98,0.0,37.0
2021,2021-01-02 00:00:00,2021/01/02,01/02,0,2021/01/02 00,58.46,38.98,0.0,37.0
2021,2021-01-02 00:15:00,2021/01/02,01/02,0,2021/01/02 00,63.89,42.59,0.0,39.0
2021,2021-01-02 00:30:00,2021/01/02,01/02,0,2021/01/02 00,63.89,42.59,0.0,39.0
2021,2021-01-02 00:45:00,2021/01/02,01/02,0,2021/01/02 00,63.89,42.59,0.0,39.0
2021,2021-01-02 01:00:00,2021/01/02,01/02,1,2021/01/02 01,63.89,42.59,0.0,39.0
2021,2021-01-02 01:15:00,2021/01/02,01/02,1,2021/01/02 01,59.59,39.73,0.0,39.0
2021,2021-01-02 01:30:00,2021/01/02,01/02,1,2021/01/02 01,59.59,39.73,0.0,39.0
2021,2021-01-02 01:45:00,2021/01/02,01/02,1,2021/01/02 01,59.59,39.73,0.0,32.610526
2021,2021-01-02 02:00:00,2021/01/02,01/02,2,2021/01/02 02,59.59,39.73,0.0,32.610526
2021,2021-01-02 02:15:00,2021/01/02,01/02,2,2021/01/02 02,55.25,36.83,0.0,20.8
